id,home_team,away_team,league_id,league_name,season,match_date,match_id_api,home_score,away_score,result,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_xg,away_xg,odds_home,odds_draw,odds_away,data_source,created_at,updated_at
"test_pl_1","Arsenal","Chelsea",0,"Premier League","2024-2025","2024-09-01",,2,1,"H",,,,,,,,,,,,,,,,,1.85,3.5,4.2,"test","2026-03-17T14:29:31.041776+00:00","2026-03-17T14:29:31.041776+00:00"
"test_pl_2","Manchester City","Liverpool",0,"Premier League","2024-2025","2024-09-15",,1,1,"D",,,,,,,,,,,,,,,,,2.1,3.4,3.3,"test","2026-03-17T14:29:31.041776+00:00","2026-03-17T14:29:31.041776+00:00"
"test_ll_1","Real Madrid","Barcelona",0,"La Liga","2024-2025","2024-10-20",,2,0,"H",,,,,,,,,,,,,,,,,2.2,3.3,3.1,"test","2026-03-17T14:29:31.041776+00:00","2026-03-17T14:29:31.041776+00:00"
"test_bl_1","Bayern Munich","Dortmund",0,"Bundesliga","2024-2025","2024-10-27",,3,1,"H",,,,,,,,,,,,,,,,,1.55,4,5.5,"test","2026-03-17T14:29:31.041776+00:00","2026-03-17T14:29:31.041776+00:00"
"test_l1_1","PSG","Marseille",0,"Ligue 1","2024-2025","2024-10-13",,1,0,"H",,,,,,,,,,,,,,,,,1.4,4.5,7,"test","2026-03-17T14:29:31.041776+00:00","2026-03-17T14:29:31.041776+00:00"
"test_sa_1","Juventus","Inter Milan",0,"Serie A","2024-2025","2024-10-06",,1,2,"A",,,,,,,,,,,,,,,,,2.3,3.2,3,"test","2026-03-17T14:29:31.041776+00:00","2026-03-17T14:29:31.041776+00:00"
"chelsea_mancity_2024-08-05","Chelsea","Man City",0,"Premier League","2023-2024","2024-08-05",,0,2,"A",,,,,,,,,,,,,,,0.66,2.25,2.5,3.41,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"liverpool_manutd_2024-08-09","Liverpool","Man Utd",0,"Premier League","2023-2024","2024-08-09",,3,0,"H",,,,,,,,,,,,,,,3.62,0.33,2.5,3.4,2.5,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"newcastle_brighton_2024-08-17","Newcastle","Brighton",0,"Premier League","2023-2024","2024-08-17",,2,3,"A",,,,,,,,,,,,,,,2.62,3.24,3.1,3.16,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
"brighton_astonvilla_2024-08-19","Brighton","Aston Villa",0,"Premier League","2023-2024","2024-08-19",,3,2,"H",,,,,,,,,,,,,,,3.44,2.17,3.1,3.16,3.1,"historical_generation","2026-03-18T21:37:24.285388+00:00","2026-03-18T21:37:24.285388+00:00"
