id,home_team,away_team,home_score,away_score,result,season,match_date,league_name,home_hits,away_hits,home_errors,away_errors,home_homeruns,away_homeruns,innings,odds_home,odds_away,total_line,home_pitcher_era,away_pitcher_era,data_source,created_at,updated_at
"mlb_719327","Houston Astros","Boston Red Sox",4,4,"A","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719330","Detroit Tigers","Pittsburgh Pirates",8,7,"H","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719331","Baltimore Orioles","Toronto Blue Jays",1,2,"A","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719324","Minnesota Twins","Philadelphia Phillies",4,4,"A","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719332","Atlanta Braves","Tampa Bay Rays",3,3,"A","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719323","New York Yankees","Washington Nationals",4,2,"H","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719326","Miami Marlins","New York Mets",4,8,"A","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719320","Los Angeles Angels","Milwaukee Brewers",4,3,"H","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719319","Cincinnati Reds","Oakland Athletics",14,14,"A","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719325","Chicago Cubs","Seattle Mariners",5,3,"H","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719318","San Francisco Giants","Arizona Diamondbacks",5,8,"A","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719313","Texas Rangers","Los Angeles Dodgers",2,4,"A","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719322","Chicago White Sox","Cleveland Guardians",6,9,"A","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719321","Colorado Rockies","Kansas City Royals",6,8,"A","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
"mlb_719316","San Diego Padres","Texas Rangers",5,1,"H","2023","2023-03-01","MLB",,,,,,,,,,,,,"MLB_Stats_API","2026-03-27T07:03:25.532827+00:00","2026-03-27T07:03:25.532827+00:00"
