id,home_team,away_team,home_score,away_score,result,season,match_date,league_name,home_shots,away_shots,home_sog,away_sog,home_ppg,away_ppg,home_pim,away_pim,odds_home,odds_away,total_line,data_source,created_at,updated_at
"nhl_401459181","New Jersey Devils","Carolina Hurricanes",4,5,"A","202324","2023-01-01","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459180","Florida Panthers","New York Rangers",3,5,"A","202324","2023-01-01","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459179","Chicago Blackhawks","San Jose Sharks",2,5,"A","202324","2023-01-02","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459182","Ottawa Senators","Buffalo Sabres",3,1,"H","202324","2023-01-02","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459183","Seattle Kraken","New York Islanders",4,1,"H","202324","2023-01-02","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459185","Boston Bruins","Pittsburgh Penguins",2,1,"H","202324","2023-01-02","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459186","Colorado Avalanche","Vegas Golden Knights",2,3,"A","202324","2023-01-03","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459184","Anaheim Ducks","Philadelphia Flyers",1,4,"A","202324","2023-01-03","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459189","Florida Panthers","Arizona Coyotes",5,3,"H","202324","2023-01-04","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459191","New York Rangers","Carolina Hurricanes",5,3,"H","202324","2023-01-04","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459193","Ottawa Senators","Columbus Blue Jackets",4,0,"H","202324","2023-01-04","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459194","Toronto Maple Leafs","St. Louis Blues",5,6,"A","202324","2023-01-04","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459196","Washington Capitals","Buffalo Sabres",4,5,"A","202324","2023-01-04","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459192","Nashville Predators","Montreal Canadiens",6,3,"H","202324","2023-01-04","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459197","Winnipeg Jets","Calgary Flames",3,2,"H","202324","2023-01-04","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459187","Chicago Blackhawks","Tampa Bay Lightning",1,4,"A","202324","2023-01-04","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459188","Edmonton Oilers","Seattle Kraken",2,5,"A","202324","2023-01-04","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459190","Los Angeles Kings","Dallas Stars",3,2,"H","202324","2023-01-04","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459195","Vancouver Canucks","New York Islanders",2,6,"A","202324","2023-01-04","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459199","Detroit Red Wings","New Jersey Devils",1,5,"A","202324","2023-01-05","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459200","Minnesota Wild","Tampa Bay Lightning",5,1,"H","202324","2023-01-05","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
"nhl_401459198","Anaheim Ducks","Dallas Stars",2,0,"H","202324","2023-01-05","NHL",,,,,,,,,,,,"ESPN","2026-03-27T07:03:12.126258+00:00","2026-03-27T07:03:12.126258+00:00"
